id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
99,Kaadehdhoo,0,05:48,17:55,09:33,76%,30°C,fine,18.7 mm,E 05 mph,-,2019-11-03 12:00:04,2019-11-03 12:00:04
100,Kaadehdhoo,0,05:48,17:55,09:33,89%,27°C,fine,18.7 mm,W 04 mph,-,2019-11-04 00:00:05,2019-11-04 00:00:05
101,Kaadehdhoo,0,05:48,17:55,12:09,78%,30°C,partly cloudy,NIL,VARIABLE 02 mph,-,2019-11-04 12:00:05,2019-11-04 12:00:05
102,Kaadehdhoo,0,05:48,17:55,12:09,97%,25°C,fine,NIL,CALM,-,2019-11-05 00:00:05,2019-11-05 00:00:05
103,Kaadehdhoo,0,05:48,17:55,12:56,77%,30°C,fine,NIL,WSW 06 mph,-,2019-11-05 12:00:05,2019-11-05 12:00:05
104,Kaadehdhoo,0,05:48,17:55,12:56,93%,25°C,slight shower,NIL,SW 13 mph,-,2019-11-06 00:00:09,2019-11-06 00:00:09
105,Kaadehdhoo,0,05:48,17:55,13:40,81%,29°C,partly cloudy,0.3 mm,WNW 05 mph,-,2019-11-06 12:00:10,2019-11-06 12:00:10
106,Kaadehdhoo,0,05:48,17:55,13:40,85%,28°C,partly cloudy,0.3 mm,W 06 mph,-,2019-11-07 00:00:11,2019-11-07 00:00:11
107,Kaadehdhoo,0,05:48,17:55,14:22,75%,31°C,fine,TRACE,SW 09 mph,-,2019-11-07 12:00:05,2019-11-07 12:00:05
108,Kaadehdhoo,0,05:48,17:55,14:22,86%,29°C,cloudy,TRACE,WNW 04 mph,-,2019-11-08 12:00:05,2019-11-08 12:00:05
109,Kaadehdhoo,0,05:48,17:55,14:22,91%,26°C,cloudy,TRACE,WSW 08 mph,-,2019-11-09 00:00:04,2019-11-09 00:00:04
110,Kaadehdhoo,0,05:49,17:55,15:45,93%,26°C,fine,23.7 mm,CALM,-,2019-11-10 00:00:05,2019-11-10 00:00:05
111,Kaadehdhoo,0,05:49,17:55,16:26,82%,29°C,partly cloudy,NIL,VARIABLE 01 mph,-,2019-11-10 12:00:10,2019-11-10 12:00:10
112,Kaadehdhoo,0,05:49,17:55,16:26,89%,27°C,fine,NIL,ESE 03 mph,-,2019-11-11 00:00:11,2019-11-11 00:00:11
113,Kaadehdhoo,0,05:49,17:55,17:10,75%,31°C,partly cloudy,NIL,E 03 mph,-,2019-11-11 12:00:05,2019-11-11 12:00:05
114,Kaadehdhoo,0,05:49,17:55,17:10,88%,28°C,partly cloudy,NIL,E 07 mph,-,2019-11-12 00:00:05,2019-11-12 00:00:05
115,Kaadehdhoo,0,05:49,17:55,17:55,78%,30°C,partly cloudy,NIL,ESE 08 mph,-,2019-11-12 12:00:06,2019-11-12 12:00:06
116,Kaadehdhoo,0,05:51,17:57,01:06,70%,31°C,fine,5.8 mm,ESE 06 mph,-,2019-11-21 17:09:04,2019-11-21 17:09:04
117,Kaadehdhoo,0,05:51,17:57,01:58,75%,31°C,fine,5.8 mm,ENE 05 mph,-,2019-11-22 12:00:10,2019-11-22 12:00:10
118,Kaadehdhoo,0,05:51,17:57,02:49,78%,31°C,fine,5.3 mm,ESE 06 mph,-,2019-11-23 12:00:09,2019-11-23 12:00:09
119,Kaadehdhoo,0,05:51,17:57,02:49,88%,28°C,fine,5.3 mm,SE 05 mph,-,2019-11-24 00:00:11,2019-11-24 00:00:11
120,Kaadehdhoo,0,05:51,17:58,03:40,91%,28°C,partly cloudy,5.3 mm,SE 05 mph,-,2019-11-24 00:09:52,2019-11-24 00:09:52
121,Kaadehdhoo,0,05:51,17:58,03:40,90%,27°C,fine,2.5 mm,SE 05 mph,-,2019-11-25 00:00:04,2019-11-25 00:00:04
122,Kaadehdhoo,0,05:52,17:58,04:32,78%,30°C,partly cloudy,2.0 mm,ESE 09 mph,-,2019-11-25 12:00:10,2019-11-25 12:00:10
123,Kaadehdhoo,0,05:52,17:58,04:32,84%,29°C,fine,2.0 mm,SE 06 mph,-,2019-11-26 00:00:05,2019-11-26 00:00:05
124,Kaadehdhoo,0,05:52,17:58,05:26,82%,29°C,slight shower,2.0 mm,ESE 07 mph,-,2019-11-26 12:00:11,2019-11-26 12:00:11
125,Kaadehdhoo,0,05:52,17:58,05:26,89%,27°C,fine,2.0 mm,VARIABLE 02 mph,-,2019-11-27 00:00:10,2019-11-27 00:00:10
126,Kaadehdhoo,0,05:52,17:59,06:21,81%,30°C,fine,12.5 mm,SSW 05 mph,-,2019-11-27 12:00:04,2019-11-27 12:00:04
