id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
102,Hanimadhoo,1,05:50,17:49,07:44,100%,24°C,partly cloudy,6.0 mm,Variable 01 mph,1:30,2019-11-01 00:00:09,2019-11-01 00:00:09
103,Hanimadhoo,1,05:50,17:49,09:37,84%,29°C,cloudy,6.0 mm,S 07 mph,1:30,2019-11-01 12:00:07,2019-11-01 12:00:07
104,Hanimadhoo,1,05:50,17:49,09:37,97%,25°C,fine,6.0 mm,VRB 02 mph,6:54,2019-11-02 00:00:04,2019-11-02 00:00:04
105,Hanimadhoo,1,05:46,17:55,10:24,71%,31°C,fine,18.6 mm,SE 03 mph,6:54,2019-11-02 12:00:11,2019-11-02 12:00:11
106,Hanimadhoo,1,05:46,17:55,10:24,91%,25°C,fine,18.6 mm,VRB 01 mph,10:54,2019-11-03 00:00:10,2019-11-03 00:00:10
107,Hanimadhoo,1,05:46,17:55,10:24,71%,31°C,fine,NIL,E 05 mph,10:54,2019-11-03 12:00:09,2019-11-03 12:00:09
108,Hanimadhoo,1,05:46,17:55,10:24,87%,27°C,partly cloudy,NIL,N 03 mph,10:12,2019-11-04 00:00:05,2019-11-04 00:00:05
109,Hanimadhoo,1,05:50,17:49,12:12,71%,31°C,cloudy,NIL,N 06 mph,10:12,2019-11-04 12:00:05,2019-11-04 12:00:05
110,Hanimadhoo,1,05:50,17:49,12:12,83%,28°C,partly cloudy,NIL,N 06 mph,6:42,2019-11-05 00:00:11,2019-11-05 00:00:11
111,Hanimadhoo,1,05:50,17:49,12:58,72%,31°C,fine,NIL,NNW 05 mph,6:42,2019-11-05 12:00:04,2019-11-05 12:00:04
112,Hanimadhoo,1,05:50,17:49,12:58,86%,27°C,partly cloudy,NIL,SSW 07 mph,11:0,2019-11-06 00:00:05,2019-11-06 00:00:05
113,Hanimadhoo,1,05:50,17:49,12:58,78%,30°C,cloudy,6.0 mm,NW 05 mph,11:0,2019-11-06 12:00:06,2019-11-06 12:00:06
114,Hanimadhoo,1,05:50,17:49,12:58,83%,27°C,partly cloudy,6.0 mm,N 05 mph,11:0,2019-11-07 00:00:05,2019-11-07 00:00:05
115,Hanimadhoo,1,05:51,17:48,14:23,71%,31°C,fine,6.7 mm,NNW 07 mph,11:0,2019-11-07 12:00:04,2019-11-07 12:00:04
116,Hanimadhoo,1,05:51,17:48,14:23,88%,27°C,lightning,6.7 mm,N 05 mph,9:42,2019-11-08 00:00:06,2019-11-08 00:00:06
117,Hanimadhoo,1,05:51,17:48,15:03,78%,31°C,fine,TRACE,N 06 mph,9:42,2019-11-08 12:00:06,2019-11-08 12:00:06
118,Hanimadhoo,1,05:51,17:48,15:03,87%,27°C,lightning,TRACE,N 03 mph,7:42,2019-11-09 00:00:04,2019-11-09 00:00:04
119,Hanimadhoo,1,05:51,17:48,15:43,73%,30°C,fine,0.7 mm,N 05 mph,7:42,2019-11-09 12:00:04,2019-11-09 12:00:04
120,Hanimadhoo,1,05:51,17:48,15:43,89%,26°C,fine,0.7 mm,NNE 03 mph,10:54,2019-11-10 00:00:10,2019-11-10 00:00:10
121,Hanimadhoo,1,05:51,17:48,16:23,74%,30°C,fine,NIL,N 05 mph,10:54,2019-11-10 12:00:10,2019-11-10 12:00:10
122,Hanimadhoo,1,05:51,17:48,17:05,72%,32°C,fine,NIL,NNE 06 mph,10:36,2019-11-11 12:00:09,2019-11-11 12:00:09
123,Hanimadhoo,1,05:51,17:48,17:05,92%,26°C,fine,NIL,NNE 03 mph,9:24,2019-11-12 00:00:10,2019-11-12 00:00:10
124,Hanimadhoo,1,05:51,17:48,05:33,71%,31°C,fine,0.2 mm,ENE 08 mph,9:24,2019-11-12 12:00:05,2019-11-12 12:00:05
125,Hanimadhoo,1,05:54,17:49,01:00,87%,28°C,cloudy,TRACE,E 06 mph,3:12,2019-11-21 17:08:56,2019-11-21 17:08:56
126,Hanimadhoo,1,05:54,17:49,01:00,80%,28°C,fine,TRACE,ESE 07 mph,4:12,2019-11-22 00:00:11,2019-11-22 00:00:11
127,Hanimadhoo,1,05:54,17:50,01:54,72%,32°C,fine,6.0 mm,ESE 05 mph,4:12,2019-11-22 12:00:06,2019-11-22 12:00:06
128,Hanimadhoo,1,05:54,17:50,01:54,91%,27°C,thunder,6.0 mm,CALM,4:12,2019-11-23 00:00:06,2019-11-23 00:00:06
129,Hanimadhoo,1,05:54,17:50,02:46,85%,28°C,slight rain,18.2 mm,ENE 16 mph,4:12,2019-11-23 12:00:05,2019-11-23 12:00:05
130,Hanimadhoo,1,05:54,17:50,02:46,81%,29°C,partly cloudy,18.2 mm,E 12 mph,1:12,2019-11-24 00:00:11,2019-11-24 00:00:11
131,Hanimadhoo,1,05:54,17:50,02:46,81%,29°C,partly cloudy,18.2 mm,E 12 mph,1:12,2019-11-24 00:10:41,2019-11-24 00:10:41
132,Hanimadhoo,1,05:54,17:50,02:46,77%,30°C,partly cloudy,TRACE,ENE 13 mph,1:12,2019-11-24 12:00:12,2019-11-24 12:00:12
133,Hanimadhoo,1,05:54,17:50,02:46,89%,27°C,lightning,TRACE,E 10 mph,3:24,2019-11-25 00:00:11,2019-11-25 00:00:11
134,Hanimadhoo,1,05:54,17:52,04:33,76%,31°C,thunder,35.8 mm,ESE 05 mph,3:24,2019-11-25 12:00:09,2019-11-25 12:00:09
135,Hanimadhoo,1,05:54,17:52,04:33,81%,29°C,cloudy,35.8 mm,ENE 14 mph,3:24,2019-11-26 00:00:04,2019-11-26 00:00:04
136,Hanimadhoo,1,05:55,17:50,05:28,93%,26°C,slight rain,36.4 mm,NE 14 mph,3:24,2019-11-26 12:00:10,2019-11-26 12:00:10
137,Hanimadhoo,1,05:55,17:50,05:28,81%,29°C,cloudy,36.4 mm,E 09 mph,0:42,2019-11-27 00:00:05,2019-11-27 00:00:05
138,Hanimadhoo,1,05:56,17:51,06:25,75%,31°C,fine,13.7 mm,NNE 09 mph,0:42,2019-11-27 12:00:04,2019-11-27 12:00:04
139,Hanimadhoo,1,05:56,17:51,06:25,85%,28°C,fine,13.7 mm,E 09 mph,8:48,2019-11-28 00:00:06,2019-11-28 00:00:06
140,Hanimadhoo,1,05:56,17:51,07:21,81%,31°C,fine,3.1 mm,ENE 12 mph,8:48,2019-11-28 12:00:06,2019-11-28 12:00:06
141,Hanimadhoo,1,05:56,17:51,07:21,96%,25°C,fine,3.1 mm,CALM,8:48,2019-11-29 00:00:05,2019-11-29 00:00:05
142,Hanimadhoo,1,05:57,17:51,08:18,78%,30°C,cloudy,7.3 mm,N 03 mph,8:48,2019-11-29 12:00:09,2019-11-29 12:00:09
143,Hanimadhoo,1,05:57,17:51,08:18,92%,26°C,lightning,7.3 mm,E 03 mph,1:0,2019-11-30 00:00:05,2019-11-30 00:00:05
144,Hanimadhoo,1,05:57,17:51,08:18,79%,29°C,cloudy,TRACE,E 06 mph,1:0,2019-11-30 12:00:07,2019-11-30 12:00:07
145,Hanimadhoo,1,05:57,17:51,08:18,92%,27°C,slight rain,TRACE,WNW 06 mph,0:0,2019-12-01 00:00:10,2019-12-01 00:00:10
146,Hanimadhoo,1,05:57,17:51,08:18,99%,25°C,slight shower,52.2 mm,S 03 mph,0:0,2019-12-02 00:00:05,2019-12-02 00:00:05
147,Hanimadhoo,1,05:58,17:52,10:51,78%,30°C,fine,40.0 mm,S 09 mph,0:0,2019-12-02 12:00:04,2019-12-02 12:00:04
148,Hanimadhoo,1,05:58,17:52,10:51,88%,28°C,cloudy,40.0 mm,ESE 07 mph,10:06,2019-12-03 00:00:05,2019-12-03 00:00:05
149,Hanimadhoo,1,05:58,17:53,11:36,75%,31°C,fine,NIL,ESE 06 mph,10:06,2019-12-03 12:00:04,2019-12-03 12:00:04
150,Hanimadhoo,1,05:58,17:53,11:36,83%,29°C,lightning,NIL,ENE 13 mph,10:06,2019-12-04 00:00:09,2019-12-04 00:00:09
151,Hanimadhoo,1,05:59,17:53,12:19,93%,27°C,slight shower,TRACE,SE 08 mph,10:06,2019-12-05 00:00:10,2019-12-05 00:00:10
152,Hanimadhoo,1,05:59,17:53,12:19,82%,28°C,cloudy,10.3 mm,E 13 mph,10:06,2019-12-05 12:00:12,2019-12-05 12:00:12
153,Hanimadhoo,1,05:59,17:53,12:19,94%,27°C,cloudy,10.3 mm,ENE 14 mph,0:0,2019-12-06 00:00:09,2019-12-06 00:00:09
154,Hanimadhoo,1,06:00,17:54,13:39,75%,30°C,cloudy,11.9 mm,ENE 16 mph,0:0,2019-12-06 12:00:04,2019-12-06 12:00:04
155,Hanimadhoo,1,06:00,17:54,13:39,83%,29°C,cloudy,11.9 mm,E 10 mph,5:54,2019-12-07 00:00:05,2019-12-07 00:00:05
156,Hanimadhoo,1,06:00,17:54,14:19,81%,29°C,cloudy,5.6 mm,SE 08 mph,5:54,2019-12-07 12:00:04,2019-12-07 12:00:04
157,Hanimadhoo,1,06:00,17:54,14:19,88%,28°C,cloudy,5.6 mm,E 08 mph,5:24,2019-12-08 00:00:07,2019-12-08 00:00:07
